p:batch_size,p:beta_kl,p:direct_gene_weight_param,p:drug_hiddens,p:epochs,p:eps_adam,p:inter_loss_penalty,p:learning_rate,p:num_hiddens_final,p:num_hiddens_genotype,objective,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:epoch,m:train_loss,m:test_loss
378,0.0007425510188998,0.2436783919799714,"100,50,6",32,3.056496824131904e-05,0.4065280161767006,0.005436161504779,6,7,-0.0128917899,19,63508.79857707024,93659.39486598969,1715862849.3154352,1715892999.908201,1,35.6115341187,0.0128917899
449,0.0021979896739706,0.0263952067996974,"100,50,6",29,3.591788864037662e-05,0.332217931866315,0.0055559543682807,6,4,-0.0132029625,7,13182.82130932808,34315.710460186005,1715812523.3374295,1715833656.2202113,1,27.1913127899,0.0132029625
582,0.0014852312336296,0.0697732249989609,"100,50,6",31,3.2073727006405885e-05,0.4462229297121366,0.0070982907561145,3,8,-0.014578375,13,39583.826677799225,58384.38525366783,1715838924.3433874,1715857724.898905,1,36.176574707,0.014578375
490,0.0044421660220948,0.0737889827202188,"100,50,6",32,4.733398457622921e-05,0.4055442953028144,0.0040618992140462,5,5,-0.016002493,18,58384.6447789669,81031.09193015099,1715857725.1614366,1715880371.3029115,1,29.9028072357,0.016002493
792,0.0023264694207164,0.2534374304932171,"100,50,6",28,2.4499183477390616e-05,0.2606660007532289,0.0088184305105053,5,3,-0.0162886679,9,26636.167655467987,39583.50881409645,1715825976.6843765,1715838924.0224688,1,21.0665855408,0.0162886679
362,0.0030675333326455,0.2002370121862301,"100,50,6",37,4.9108302236953744e-05,0.3831599342380128,0.0071590025919022,6,8,-0.0168944634,17,54176.98106002808,89095.07495951653,1715853517.4976146,1715888435.5887115,1,23.4216308594,0.0168944634
544,0.0166533117229121,0.1313033403935094,"100,50,6",15,1.904219510165682e-05,0.3306609578008903,0.0077790000620987,7,4,-0.0197720844,16,53833.469291210175,63508.50435614586,1715853173.985163,1715862849.0177472,1,28.4930992126,0.0197720844
66,0.0003599300552969,0.0107884808900816,"100,50,6",3,6.0731123021762616e-05,0.3598399627802059,0.0027306220316025,9,9,-0.0228099432,6,12737.205080509186,26636.08638072014,1715812077.7214053,1715825976.6000204,1,5.2942485809,0.0228099432
71,0.0002165669031537,0.3530538511224969,"100,50,6",4,7.702233754174031e-05,0.1745908162630383,0.0007123753217225,10,9,-0.0262806825,10,30562.59794998169,48159.13410162926,1715829903.1144238,1715847499.647796,1,7.6084427834,0.0262806825
199,0.0014850831230484,0.305520011506912,"100,50,6",20,5.144585577646371e-05,0.4366586540300871,0.001790353088926,3,3,-0.0298723429,12,35972.67112851143,69193.92459440231,1715835313.1879206,1715868534.438005,1,26.0828399658,0.0298723429
274,0.3683965770261095,0.1490049827834799,"100,50,6",39,8.357564024434205e-05,0.2716040942702235,0.0024576607769529,7,4,-0.0437427089,3,0.0557727813720703,45995.52560710907,1715799340.5730038,1715845336.0394015,1,15.2614440918,0.0437427089
1665,0.0016752631025487,0.0340093029041127,"100,50,6",24,4.092607609622023e-06,0.1933053326460784,0.0056323479658477,6,5,-0.047903873,15,48159.64594531059,54176.6946747303,1715847500.1626418,1715853517.208436,1,19.2792568207,0.047903873
1551,0.0015257120259234,0.0437663779266295,"100,50,6",29,2.919982169010728e-05,0.3210146958060187,0.0073239560596877,2,7,-0.052417215,14,45995.7659304142,53833.2133102417,1715845336.2826858,1715853173.727336,1,29.3657512665,0.052417215
928,0.0001130644963778,0.2190160979383945,"100,50,6",9,3.01132828801708e-05,0.4725659210377203,0.0016391725659628,10,3,-0.0685673654,2,0.0557582378387451,3822.5890951156616,1715799340.5730891,1715803163.1013796,1,339.5556640625,0.0685673654
999,0.0115623549112895,0.45677163273328,"100,50,6",14,7.933502911984689e-05,0.4444116189633832,0.0015233029764267,5,3,-0.0758301765,1,0.0557427406311035,5561.811257123947,1715799340.5729878,1715804902.3246255,1,382.9667358398,0.0758301765
1486,0.1232333328247388,0.480137386516017,"100,50,6",35,6.735902123732953e-05,0.1574826267489508,0.0042963512798827,8,6,-0.0817220584,4,3822.680608987808,13182.742911577225,1715803163.1966536,1715812523.256435,1,17.4180450439,0.0817220584
678,0.1265606282302959,0.1684756844829754,"100,50,6",29,9.977388029958984e-05,0.4167994087515169,0.002097247445164,4,3,-0.090903759,5,5561.889303922653,20954.74738764763,1715804902.405236,1715820295.2609515,1,38.3370399475,0.090903759
304,0.1483499977096316,0.0232422258579909,"100,50,6",9,4.215405962660155e-05,0.3696542572766138,0.0005389919094343,6,9,-0.1025509611,8,20955.051990509037,30562.518822431564,1715820295.5681624,1715829903.0332572,1,25.9114303589,0.1025509611
1457,0.0950526200944153,0.040457063371446,"100,50,6",6,6.935994865279465e-05,0.4215384621183305,0.0008043485862868,8,8,-0.1143288612,11,34315.79709339142,35972.594937086105,1715833656.3144722,1715835313.109064,1,728.4235229492,0.1143288612
1203,0.0003376854617393,0.1971922293330862,"100,50,6",37,1.6316709648759757e-05,0.4722368813473904,0.0001039861859442,3,8,-0.1149695963,0,0.0557203292846679,12737.126175642014,1715799340.572992,1715812077.639719,1,991.0345458984,0.1149695963
